city,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B25077_001E,B27011_014E,B25099_001E,B06007_005E,B06007_008E,B17010B_002E
"mukilteo, washington",423,2330,4404,4681,2480,442300.0,734,119395.0,111,1580,12
"farrell, pennsylvania",449,1302,991,389,88,60500.0,282,41064.0,1,23,131
"carnegie, pennsylvania",402,2087,1665,1101,479,95200.0,311,57119.0,6,162,98
"mount oliver, pennsylvania",421,825,590,175,68,49400.0,329,46060.0,24,160,118
"new castle, pennsylvania",2181,7435,3830,1669,741,61400.0,963,44796.0,98,224,287
"norristown, pennsylvania",3861,8530,5238,3225,1297,153200.0,2090,65759.0,3812,663,692
"sharpsville, pennsylvania",141,1281,947,410,199,88800.0,193,50767.0,15,34,6
"washington, pennsylvania",1320,3850,2279,1166,453,95700.0,657,51290.0,29,154,130
"lemoyne, pennsylvania",196,900,1057,590,436,146400.0,202,75156.0,53,81,4
"quakertown, pennsylvania",774,2516,1584,982,370,177100.0,356,71462.0,155,88,10
"wilkinsburg, pennsylvania",1074,3542,3437,2130,1440,72800.0,1023,50779.0,80,62,620
"warminster heights, pennsylvania",895,968,559,177,59,268100.0,368,65000.0,568,71,37
"steelton, pennsylvania",358,1618,1069,258,166,92300.0,222,53722.0,225,41,119
"west york, pennsylvania",295,1389,995,203,44,103300.0,212,59391.0,67,20,44
"ambler, pennsylvania",388,1286,1244,1071,669,256600.0,460,90553.0,232,126,33
"ardmore, pennsylvania",541,1221,1599,2924,2878,300400.0,493,94468.0,491,348,44
"drexel hill, pennsylvania",975,5791,4953,4545,2947,186700.0,1284,85303.0,302,815,140
"folcroft, pennsylvania",394,1988,1083,634,173,118300.0,324,60533.0,16,232,158
"media, pennsylvania",210,678,1065,1288,897,285700.0,239,83068.0,14,28,36
"forest hills, pennsylvania",97,1241,1144,1409,1264,121100.0,171,77981.0,19,95,17
"pleasant hills, pennsylvania",191,1731,1891,1598,879,150100.0,331,76906.0,87,47,38
